common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Longleaf Pine / Scrub Oak Sandhill Woodland,Pinus palustris - (Pinus serotina) / Quercus laevis / Gaylussacia frondosa - Kalmia angustifolia - Vaccinium tenellum Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctf1,TERRESTRIAL NATURAL COMMUNITY,G1,S1,None,None,4,Y
Pond Pine Woodland / Pocosin,Pinus serotina / Smilax laurifolia - Ilex glabra / Anchistea virginica Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpd1,TERRESTRIAL NATURAL COMMUNITY,G2?,S1,None,None,4,Y
Loblolly Pine / Scrub Oak Sandhill Woodland,Pinus taeda - Quercus falcata - Quercus nigra / Quercus margarettae / Cnidoscolus stimulosus Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctf1,TERRESTRIAL NATURAL COMMUNITY,G3,SU,None,None,7,N
Loblolly Pine / Sand Heather Dune Woodland,Pinus taeda / Hudsonia tomentosa Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte3,TERRESTRIAL NATURAL COMMUNITY,G1G2,S1S2,None,None,9,Y
Non-Riverine Wet Hardwood Forest (Southern Coastal Plain Type),"Quercus (michauxii, pagoda, laurifolia) / Carpinus caroliniana / (Leucothoe axillaris) - Arundinaria tecta Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc2,TERRESTRIAL NATURAL COMMUNITY,G2,S1,None,None,6,Y
Non-Riverine Wet Hardwood Forest (Northern Coastal Plain Type),"Quercus (phellos, pagoda, michauxii) / Ilex opaca - Clethra alnifolia / Lorinseria areolata Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc2,TERRESTRIAL NATURAL COMMUNITY,G2?,S2,None,None,15,Y
Northern Coastal Plain / Inner Piedmont Mixed Oak Floodplain Swamp,"Quercus (phellos, palustris, michauxii) - Liquidambar styraciflua / Cinna arundinacea Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa2,TERRESTRIAL NATURAL COMMUNITY,G3G4,S3?,None,None,3,Y
Coastal Plain Mixed Oak / Heath Forest,Quercus alba - Quercus falcata - (Carya pallida) / Gaylussacia frondosa Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctc6,TERRESTRIAL NATURAL COMMUNITY,G4G5,S4,None,None,3,Y
Coastal Plain Bottomland Forest (Brownwater Low Terrace Type),"Quercus lyrata - Fraxinus pennsylvanica - (Carya aquatica, Quercus laurifolia) / Carex louisianica - Leersia lenticularis Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa2,TERRESTRIAL NATURAL COMMUNITY,G4G5,S3?,None,None,7,Y
Coastal Plain Bottomland Forest (Brownwater High Terrace Type),Quercus michauxii - Quercus pagoda - Carya ovata / Carpinus caroliniana / Carex abscondita Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa2,TERRESTRIAL NATURAL COMMUNITY,G3G4,S3?,None,None,3,N
Coastal Plain Dry Calcareous Forest,Quercus muehlenbergii - Carya cordiformis / Cercis canadensis / Dichanthelium boscii - Erigeron pulchellus Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctc2,TERRESTRIAL NATURAL COMMUNITY,G1,S1,None,None,17,Y
Maritime Mixed Deciduous Forest,Quercus nigra - Pinus taeda - Carya pallida / Persea palustris / Symplocos tinctoria / Gelsemium sempervirens Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte4,TERRESTRIAL NATURAL COMMUNITY,G1,S1,None,None,1,Y
Coastal Plain Depression Swamp (Willow Oak - Red Maple - Sweetgum Type),"Quercus phellos - Acer rubrum - Liquidambar styraciflua / Vaccinium (formosum, fuscatum) Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G3,S2,None,None,17,Y
Live Oak Dune Scrub,Quercus virginiana - (Morella pensylvanica) Shrubland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte2,TERRESTRIAL NATURAL COMMUNITY,G3,S1,None,None,2,Y
Maritime Live Oak Forest,Quercus virginiana - Pinus taeda Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte4,TERRESTRIAL NATURAL COMMUNITY,G2,S1,None,None,3,Y
Live Oak - Bluejack Oak Dune Woodland,Quercus virginiana - Quercus incana Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte3,TERRESTRIAL NATURAL COMMUNITY,G1,S1,None,None,1,Y
Tidal Oligohaline Marsh (Saltmeadow Cordgrass - Olney Threesquare Low Interior Marsh Type),Schoenoplectus americanus - Spartina patens Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea2,TERRESTRIAL NATURAL COMMUNITY,G3,S3?,None,None,2,Y
Low Salt Marsh (Salt Panne Type),Spartina alterniflora - Distichlis spicata - (Spartina patens) Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea4,TERRESTRIAL NATURAL COMMUNITY,GNR,S3?,None,None,3,Y
Riverine Salt Marsh (Saltmarsh Cordgrass - Saltmarsh Bulrush Type),Spartina alterniflora - Spartina cynosuroides - Bolboschoenus robustus Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea4,TERRESTRIAL NATURAL COMMUNITY,GNR,S3?,None,None,3,Y
Wind-Tidal Oligohaline Marsh (Big Cordgrass Type),Spartina cynosuroides - Schoenoplectus americanus - Sagittaria lancifolia Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea3,TERRESTRIAL NATURAL COMMUNITY,G2G3,S2,None,None,2,Y
Tidal Oligohaline Marsh (Big Cordgrass Type),Spartina cynosuroides Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea2,TERRESTRIAL NATURAL COMMUNITY,G4,S4,None,None,5,Y
Interdune Swale (Southern Mixed Grassland Type),Spartina patens - Schoenoplectus pungens - Thelypteris palustris - Centella asiatica Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe2,TERRESTRIAL NATURAL COMMUNITY,G2,S2,None,None,1,Y
Northern Coastal Plain Tidal Bald Cypress Forest,"Taxodium distichum - (Nyssa biflora, Fraxinus pennsylvanica) / Pontederia cordata Tidal Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea6,TERRESTRIAL NATURAL COMMUNITY,G3,S2,None,None,3,Y
Bald Cypress - Mixed Tupelo Intermediate Swamp,"Taxodium distichum - Nyssa (biflora, aquatica) / Itea virginica / Saururus cernuus Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa1,TERRESTRIAL NATURAL COMMUNITY,G3G4,S3S4,None,None,4,Y
Bald Cypress - Water Tupelo Brownwater Swamp,Taxodium distichum - Nyssa aquatica / Fraxinus caroliniana Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa1,TERRESTRIAL NATURAL COMMUNITY,G5?,S4,None,None,5,N
Maritime Swamp Forest (Bald Cypress Type),Taxodium distichum / Cephalanthus occidentalis / Boehmeria cylindrica - Ceratophyllum echinatum Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe3,TERRESTRIAL NATURAL COMMUNITY,G1,S1,None,None,1,Y
Bald Cypress Seasonal Pond / Lake Shore,Taxodium distichum / Cephalanthus occidentalis / Juncus repens Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G1?,S1,None,None,1,Y
Wind-Tidal Bald Cypress Woodland,Taxodium distichum / Zizania aquatica - Carex canescens Tidal Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea6,TERRESTRIAL NATURAL COMMUNITY,G1Q,SU,None,None,1,Y
Tidal Swamp Forest / Woodland,Tidal Swamp Forest / Woodland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea6,TERRESTRIAL NATURAL COMMUNITY,G3,SNR,None,None,1,Y
South Atlantic Mixed Dune Grassland,Uniola paniculata - Calamagrostis breviligulata Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncte1,TERRESTRIAL NATURAL COMMUNITY,G3,S2,None,None,2,Y
Tidal Freshwater Marsh (Wild Rice - Mixed Forbs Type),Zizania aquatica - Pontederia cordata - Peltandra virginica - Persicaria punctata Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea1,TERRESTRIAL NATURAL COMMUNITY,G4?,S4?,None,None,9,Y
Sensitive Joint-vetch,Aeschynomene virginica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.159058,VASCULAR PLANTS,G2,S2,LT,LT,22,Y
Golden Colicroot,Aletris aurea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150314,VASCULAR PLANTS,G5,S1,None,None,11,Y
Spreading sandwort,Arenaria lanuginosa var. lanuginosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.128540,VASCULAR PLANTS,G5T5,SH,None,None,1,Y
Purple Milkweed,Asclepias purpurascens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.145205,VASCULAR PLANTS,G5?,S2,None,None,28,Y
Red Milkweed,Asclepias rubra,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151991,VASCULAR PLANTS,G4G5,S2,None,None,30,N
Sandhills butterfly-weed,Asclepias tuberosa var. rolfsii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.157130,VASCULAR PLANTS,G5TNR,S1,None,None,5,Y
Blue water-hyssop,Bacopa caroliniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.156041,VASCULAR PLANTS,G4G5,SH,None,None,2,Y
Gray-hairy wild indigo,Baptisia cinerea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146790,VASCULAR PLANTS,G3G4,SH,None,None,3,N
Spring Bartonia,Bartonia verna,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.152343,VASCULAR PLANTS,G5?,S1,None,None,1,Y
Eastern doll's-daisy,Boltonia asteroides var. glastifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.840696,VASCULAR PLANTS,G5TNR,S2,None,None,1,Y
Violet Burmannia,Burmannia biflora,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129277,VASCULAR PLANTS,G4G5,S1,None,None,2,Y
Carolina Fanwort,Cabomba caroliniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146971,VASCULAR PLANTS,G5,S1S2,None,None,9,Y
Pine barren sandreed,Calamovilfa brevipilis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154028,VASCULAR PLANTS,G4,S1,None,None,9,Y
Pale Grass-pink,Calopogon pallidus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132962,VASCULAR PLANTS,G4G5,S1,None,None,3,Y
Tuberosus Grass-pink,Calopogon tuberosus var. tuberosus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.141726,VASCULAR PLANTS,G5T5,S1S2,None,None,17,Y
Sweet-shrub,Calycanthus floridus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.134420,VASCULAR PLANTS,G5,S1,None,None,11,N
Barratt's Sedge,Carex barrattii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144090,VASCULAR PLANTS,G4,S2,None,None,12,Y
Crowfoot sedge,Carex crus-corvi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132739,VASCULAR PLANTS,G5,S2,None,None,6,N
Cypress-knee sedge,Carex decomposita,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154855,VASCULAR PLANTS,G3G4,S1,None,None,13,Y
False Hop Sedge,Carex lupuliformis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155684,VASCULAR PLANTS,G4,S1S2,None,None,15,Y
Kidney sedge,Carex reniformis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142694,VASCULAR PLANTS,G4?,S1,None,None,6,Y
Sandy-woods Chaffhead,Carphephorus bellidifolius,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144488,VASCULAR PLANTS,G4,S1S2,None,None,16,Y
Woolly Chaffhead,Carphephorus tomentosus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142069,VASCULAR PLANTS,G4,S1,None,None,13,N
Wild Olive,Cartrema americanum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.149806,VASCULAR PLANTS,G5,S1,None,None,4,Y
Cuthbert's Turtlehead,Chelone cuthbertii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.158507,VASCULAR PLANTS,G3,S2,None,None,34,Y
Red Turtlehead,Chelone obliqua var. obliqua,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154508,VASCULAR PLANTS,G4T3T4Q,S1,None,None,10,Y
Cottony Golden-aster,Chrysopsis gossypina,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.133526,VASCULAR PLANTS,G5,S1,None,None,4,Y
Nuttall's Thistle,Cirsium nuttallii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148705,VASCULAR PLANTS,G5,SH,None,None,2,N
Sandhill thistle,Cirsium repandum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129721,VASCULAR PLANTS,G5,SH,None,None,2,Y
Sawgrass,Cladium jamaicense,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136263,VASCULAR PLANTS,G5T5,S1S2,None,None,4,Y
Large spreading pogonia,Cleistesiopsis divaricata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129323,VASCULAR PLANTS,G4,S1,None,None,17,Y
Coastal Plain Small Spreading Pogonia,Cleistesiopsis oricamporum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.848776,VASCULAR PLANTS,G3?,S1,None,None,1,Y
Pool Coreopsis,Coreopsis falcata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.157382,VASCULAR PLANTS,G4G5,S1,None,None,1,Y
Savanna coreopsis,Coreopsis linifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.138958,VASCULAR PLANTS,G4Q,S1,None,None,4,Y
Pursh's rattlebox,Crotalaria purshii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.134189,VASCULAR PLANTS,G5,S1,None,None,3,N
Prostrate Rattle-box,Crotalaria rotundifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151254,VASCULAR PLANTS,G5,SH,None,None,6,Y
Toothache Grass,Ctenium aromaticum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.143256,VASCULAR PLANTS,G5,S1,None,None,5,Y
Buttonbush dodder,Cuscuta cephalanthi,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.151489,VASCULAR PLANTS,G5,S1,None,None,8,Y
Hazel Dodder,Cuscuta coryli,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150638,VASCULAR PLANTS,G5?,S2,None,None,14,Y
Big-seed Alfalfa dodder,Cuscuta indecora,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155507,VASCULAR PLANTS,G5,S1,None,None,16,Y
Smartweed Dodder,Cuscuta polygonorum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154263,VASCULAR PLANTS,G5,S1,None,None,10,Y
Grasslike roselings,Cuthbertia graminea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.143361,VASCULAR PLANTS,G5,S1,None,None,4,Y
Umbrella Flatsedge,Cyperus diandrus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142875,VASCULAR PLANTS,G5,S1,None,None,4,Y
American halfchaff sedge,Cyperus neotropicalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.131483,VASCULAR PLANTS,G5,S1,None,None,9,Y
Slender sand sedge,Cyperus odoratus var. engelmannii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155202,VASCULAR PLANTS,G4Q,S1,None,None,2,Y
Plukenet's flatsedge,Cyperus plukenetii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.130126,VASCULAR PLANTS,G5,S2,None,None,13,Y
Small-flower halfchaff sedge,Cyperus subsquarrosus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.144682,VASCULAR PLANTS,G5,S2,None,None,11,N
Toothed Tick-treefoil,Desmodium cuspidatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.156207,VASCULAR PLANTS,G5,S2,None,None,13,Y
Pineland Tick-trefoil,Desmodium strictum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136936,VASCULAR PLANTS,G4,S2,None,None,14,Y
Slim-leaf Tick-trefoil,Desmodium tenuifolium,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.160687,VASCULAR PLANTS,G4,S1,None,None,9,Y
Blue Panic Grass,Dichanthelium caerulescens,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.131345,VASCULAR PLANTS,G2G3,S1,SOC,None,6,Y
Blood panic grass,Dichanthelium consanguineum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150769,VASCULAR PLANTS,G5,S1S2,None,None,15,Y
Oval-flowered panic grass,Dichanthelium ovale var. ovale,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139253,VASCULAR PLANTS,G5T5,S1?,None,None,4,Y
Dwarf Crabgrass,Digitaria serotina,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139584,VASCULAR PLANTS,G5?,S1,None,None,3,N
Baldwin's spikerush,Eleocharis baldwinii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.158339,VASCULAR PLANTS,G4G5,S1,None,None,10,Y
Black-fruited Spikerush,Eleocharis melanocarpa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.149590,VASCULAR PLANTS,G4,S2,None,None,11,Y
Rooted Spikerush,Eleocharis radicans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.134569,VASCULAR PLANTS,G5,SH,None,None,1,Y
Three-angled spikerush,Eleocharis tricostata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142022,VASCULAR PLANTS,G4,S1,None,None,6,N
One-scale Spikerush,Eleocharis uniglumis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.858808,VASCULAR PLANTS,G5,S1,None,None,2,Y
Viviparous Spikerush,Eleocharis vivipara,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.158935,VASCULAR PLANTS,G5,S1,None,None,5,Y
False Rue-anemone,Enemion biternatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.150438,VASCULAR PLANTS,G5,S1,None,None,3,N
Compressed plumegrass,Erianthus coarctatus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.154815,VASCULAR PLANTS,G5?,S1,None,None,7,Y
White-top Fleabane,Erigeron vernus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129674,VASCULAR PLANTS,G5,S2,None,None,14,Y
Ten-angled pipewort,Eriocaulon decangulare var. decangulare,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132965,VASCULAR PLANTS,G5T5?,S2,None,None,19,Y
Parker's Pipewort,Eriocaulon parkeri,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.137877,VASCULAR PLANTS,G3,S2,None,None,18,Y
Northern rattlesnake-master,Eryngium yuccifolium var. yuccifolium,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.153339,VASCULAR PLANTS,G5T5,S2,None,None,29,N
Narrow-leaf bushy thoroughwort,Eupatorium linearifolium,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.138671,VASCULAR PLANTS,G5TNR,SH,None,None,4,Y
Seaside Thoroughwort,Eupatorium maritimum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.971545,VASCULAR PLANTS,G2?,S1,SOC,None,4,Y
Southern seaside spurge,Euphorbia bombensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.137131,VASCULAR PLANTS,G4G5,S2,None,None,20,Y
Harper's fimbry,Fimbristylis perpusilla,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.148054,VASCULAR PLANTS,G2,S1,SOC,LE,2,Y
Pink Thoroughwort,Fleischmannia incarnata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.129109,VASCULAR PLANTS,G5,S2,None,None,19,Y
Pine barren gentian,Gentiana autumnalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.134657,VASCULAR PLANTS,G3,S1,None,None,5,Y
Short-leaf sneezeweed,Helenium brevifolium,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.153485,VASCULAR PLANTS,G4,S2,None,None,15,Y
Seaside Heliotrope,Heliotropium curassavicum var. curassavicum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.137878,VASCULAR PLANTS,G5T5,S1,None,None,8,Y
Atlantic Mud plantain,Heteranthera pauciflora,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1170638,VASCULAR PLANTS,G3?,S1,None,None,3,Y
Sea-beach Sandwort,Honckenya peploides ssp. robusta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.135630,VASCULAR PLANTS,G5T5,SH,None,None,1,Y
Coastal water-pennywort,Hydrocotyle bonariensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.155661,VASCULAR PLANTS,G5,S2,None,None,5,Y
Maidencane,Hymenachne hemitomon,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.140531,VASCULAR PLANTS,G5?,S2,None,None,7,Y
Bog St. John's-wort,Hypericum adpressum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132006,VASCULAR PLANTS,G3,S1,None,None,3,Y
Coppery St. John's-wort,Hypericum denticulatum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.139805,VASCULAR PLANTS,G5,S1,None,None,1,Y
Hairy St. John's-wort,Hypericum setosum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132345,VASCULAR PLANTS,G4G5,S1S2,None,None,16,N
Glossy-seed yellow stargrass,Hypoxis sessilis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147585,VASCULAR PLANTS,G4,SH,None,None,1,Y
Big gallberry,Ilex coriacea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132294,VASCULAR PLANTS,G5,S1,None,None,10,Y
Winter Quillwort,Isoetes hyemalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.147799,VASCULAR PLANTS,G2G3,S2,SOC,None,10,N
Small Whorled Pogonia,Isotria medeoloides,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.137976,VASCULAR PLANTS,G2G3,S2,LT,LE,65,Y
Dune marsh-elder,Iva imbricata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.142093,VASCULAR PLANTS,G5?,S1,None,None,9,Y
New Jersey Rush,Juncus caesariensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136247,VASCULAR PLANTS,G2G3,S2,SOC,LT,13,Y
Bog Rush,Juncus elliottii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.132938,VASCULAR PLANTS,G4G5,S1,None,None,7,Y
Big-headed rush,Juncus megacephalus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.160580,VASCULAR PLANTS,G4G5,S2,None,None,10,Y
Brown-fruited Rush,Juncus pelocarpus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.146074,VASCULAR PLANTS,G5,S2,None,None,8,Y
Sheep laurel,Kalmia angustifolia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136087,VASCULAR PLANTS,G5,S2,None,None,13,Y
Carolina laurel,Kalmia carolina,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.136342,VASCULAR PLANTS,G4,S2,None,None,12,Y
Redroot,Lachnanthes caroliniana,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.140914,VASCULAR PLANTS,G4,SH,None,None,2,Y
